wreck_num,wreck_name,wdpa_gid,wdpa_name
1072.0,NM Site - Tugboat,164291,Southeast U.S.
1073.0,NM Site - Barge '80,164291,Southeast U.S.
1074.0,Ch Site - North Tug,164291,Southeast U.S.
1075.0,NM Site - Tug,164291,Southeast U.S.
1076.0,PM Site - Banana And Pogey Boats,164291,Southeast U.S.
1077.0,CH Site - South Tug,164291,Southeast U.S.
1078.0,AH Site - Barge,164291,Southeast U.S.
1079.0,MR Site - Bills Barge,164291,Southeast U.S.
1080.0,PM Site - South - #1Tug,164291,Southeast U.S.
1081.0,Casablanca,164291,Southeast U.S.
1082.0,TW Site - Tug,164291,Southeast U.S.
1083.0,PM Site - North Barge,164291,Southeast U.S.
1084.0,MG Site - Tug,164291,Southeast U.S.
1085.0,MR Site - Upside-Down Barge,164291,Southeast U.S.
1086.0,BB Site -Carpet Barge,164291,Southeast U.S.
1087.0,BR Site - Barge #1,164291,Southeast U.S.
1088.0,BR Site - N. Barge,164291,Southeast U.S.
1089.0,MR Site - Barge,164291,Southeast U.S.
1090.0,MR Site - Maxies,164291,Southeast U.S.
1091.0,NM Site - Barge,164291,Southeast U.S.
1092.0,NM Site - Nine Mile Barge,164291,Southeast U.S.
1093.0,NM Site - Tar Barge,164291,Southeast U.S.
1094.0,PM Site - Navy Barge,164291,Southeast U.S.
1095.0,Rl Site - Barge,164291,Southeast U.S.
1096.0,BR Site - Warwick,164291,Southeast U.S.
1097.0,BR Site - Ocean Going Tug #1,164291,Southeast U.S.
1098.0,BR Site - Tug #2,164291,Southeast U.S.
1099.0,MR Site - Tug,164291,Southeast U.S.
1100.0,BB Site - Wooden Tug,164291,Southeast U.S.
1101.0,BB Site - Old Gibbs Drydock,164291,Southeast U.S.
1103.0,Joe Patti Memorial Reef,164060,Fort Pickens
1131.0,Three Barges,164060,Fort Pickens
1147.0,Barrier Dunes Barge,164068,St. Joseph Bay
1167.0,Hailey Glasrud,164212,Southeast U.S.
1168.0,Kyle Conrad Memorial Reef,164212,Southeast U.S.
1169.0,Glasrud Reef,164212,Southeast U.S.
1170.0,Tension Barge 13,164212,Southeast U.S.
1171.0,Wickstrom Reef,164212,Southeast U.S.
1172.0,Tree Barge,164212,Southeast U.S.
1173.0,Traffic Barge-Guardian Reef,164212,Southeast U.S.
1174.0,LC6-Landing Craft-Guardian Reef,164212,Southeast U.S.
1175.0,USS Rankin,164212,Southeast U.S.
1176.0,Al Sirotkin Reef,164212,Southeast U.S.
1177.0,David T. - Sirotkin Reef,164212,Southeast U.S.
1178.0,Ernst Reef - South Barge,164212,Southeast U.S.
1179.0,Ernst Reef - Corner Barge,164212,Southeast U.S.
1180.0,Bull Shark Barge,164212,Southeast U.S.
1181.0,Ernst Reef,164212,Southeast U.S.
1182.0,Cement Barge,164212,Southeast U.S.
1183.0,Donaldson Reef,164212,Southeast U.S.
